"Table 6.17B. Corporate Profits Before Tax by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"36","    Transportation and public utilities",3281,2942,4357,4886,5167,5311,4999,6169,6460,6253,6235,7437,7801,8186,8725,9747,10431,11487,12687,11419,11441,11374,9401,9725,10669,11211,12089,12101,18848,22564,26589,25535,26336,28949,28392,34420,45126,39382,37330,43494
"37","        Transportation",1666,1134,2015,1982,1856,1663,988,1529,1492,1180,881,1160,884,956,1039,1397,1602,2138,2282,1354,990,610,-197,728,1543,1560,2812,814,2944,3527,4443,4852,3740,2071,-507,2766,5387,2345,544,2294
"38","            Railroad transportation",1155,647,1283,1150,1166,1001,383,762,748,616,347,449,317,362,289,480,423,532,654,37,60,62,-354,-169,21,52,751,-81,377,518,350,1188,1754,333,-246,533,2165,928,309,1107
"39","            Local and interurban passenger transit",80,46,56,82,79,65,44,60,57,57,65,106,93,91,92,94,110,148,124,109,115,85,31,9,75,30,56,55,86,89,115,180,218,167,151,225,251,153,68,42
"40","            Trucking and warehousing",179,167,260,206,195,212,192,244,194,212,194,292,203,292,362,337,383,548,533,414,586,514,414,788,1030,931,904,609,1138,1247,1634,1536,1099,1413,739,1968,1687,2291,2389,690
"41","            Water transportation",135,138,148,234,136,117,65,139,188,95,64,78,83,96,93,139,180,159,207,160,185,75,32,1,32,78,437,244,277,271,212,361,325,102,-422,-394,-508,-767,-649,-93
"42","            Transportation by air",2,24,87,117,92,98,121,135,94,-12,14,13,-49,-111,-1,116,282,515,506,348,-126,-287,-512,-122,134,261,323,-355,569,917,1382,247,-755,-1184,-1991,-824,828,-1357,-2109,-151
"43","            Pipelines, except natural gas",64,68,127,130,126,114,120,113,131,133,136,163,156,148,139,175,155,159,156,154,121,133,170,181,207,201,301,366,420,420,596,983,921,1097,1261,1214,904,1000,707,894
"44","            Transportation services",50,44,54,62,62,56,63,76,80,78,61,59,81,77,65,56,69,76,101,131,48,29,22,40,44,8,41,-24,76,64,154,357,179,141,1,45,59,98,-171,-196
"45","        Communication",455,491,796,1084,1252,1469,1627,2056,2242,2373,2617,3089,3294,3487,3818,4156,4252,4663,5412,5253,5559,5950,5375,4741,4787,5367,5558,5261,7881,9241,11749,11359,11112,13047,13278,14753,17981,18948,22280,22336
"46","            Telephone and telegraph",409,439,690,892,1004,1181,1277,1584,1702,1837,2131,2543,2717,2979,3255,3554,3750,3965,4436,4558,4942,5221,4720,4140,3796,4503,4462,4164,5713,6443,8629,8079,8733,9919,10421,11737,14277,16286,20690,21067
"47","            Radio and television",47,52,105,192,248,287,350,471,540,536,486,546,577,508,564,602,502,698,976,694,617,729,655,601,991,864,1096,1097,2168,2797,3120,3280,2379,3128,2857,3017,3704,2662,1590,1269
"48","        Electric, gas, and sanitary services",1161,1316,1546,1821,2059,2180,2384,2584,2726,2701,2736,3187,3623,3743,3868,4194,4576,4686,4993,4812,4892,4814,4223,4256,4339,4284,3719,6026,8023,9796,10398,9324,11484,13831,15622,16901,21758,18089,14506,18864
"49","    Wholesale trade",2480,1594,2968,2822,2025,1859,1668,2432,2683,2500,2246,2838,2460,2561,2813,2879,3446,4083,4389,4250,5155,5647,5615,6170,8933,13981,18861,16029,16376,18568,22285,27869,27456,27366,21877,24835,30109,22874,22577,22710
"50","    Retail trade",3500,2527,3560,2861,2618,2400,2354,2971,2913,2778,2657,3310,2790,2974,3426,3654,4565,5116,5156,6048,7040,7262,6929,8198,8558,9891,9262,11392,13453,15929,18629,18033,15504,14913,16238,21665,23337,24177,24681,25732
"51","    Finance, insurance, and real estate",3392,3965,4059,4433,5090,5592,5941,6155,6385,6688,7242,8431,9212,9036,9347,9074,9584,10238,11762,12237,14216,14786,16290,18916,20274,21725,20867,20652,26564,34702,43139,44006,35967,29623,25337,35920,33301,44124,53910,58990
"52","        Banking",1593,1667,1796,2159,2343,2538,2528,2799,3330,3672,3605,4168,4829,4379,4422,4748,5105,5569,6225,6521,7901,9675,10624,10089,10229,11927,13864,14202,15172,15475,18383,21505,21676,31275,50371,30935,32926,41546,45428,48157
"53","            Federal Reserve banks",228,235,190,294,346,394,322,296,468,625,595,734,942,773,863,954,1135,1342,1685,1953,2502,3075,3526,3312,3344,4476,5681,5610,5872,6109,7645,9433,11798,14393,15245,14586,16433,16346,15516,16249
"54","            Commercial and mutual banks",1365,1432,1606,1865,1997,2144,2206,2503,2862,3047,3010,3434,3887,3606,3559,3794,3970,4227,4540,4568,5399,6600,7098,6777,6885,7451,8183,8592,9300,9366,10738,12072,9878,16882,35126,16349,16493,25200,29912,31908
"55","        Credit agencies other than banks",383,472,633,701,925,913,1008,1146,1270,1355,1453,1563,1671,1890,1971,1898,1881,1956,1744,1745,1945,1874,1824,2728,3322,3883,3424,3344,4805,6402,7830,6163,-269,-14952,-33299,-644,13,2043,3521,8294
